DeviceDateTime,Longitute,Latitude,Speed,Di1,Di2,Di3
31:54.0,21.170107,42.660053,0,1,0,1
32:03.0,21.170107,42.660053,0,1,1,1
32:13.0,21.170283,42.660023,18,1,1,1
32:14.0,21.170348,42.66,22,1,1,0
32:24.0,21.171338,42.659792,20,1,1,0
32:34.0,21.172685,42.659712,53,1,1,0
32:44.0,21.174532,42.65962,43,1,1,0
32:54.0,21.176207,42.659415,60,1,1,0
33:04.0,21.1778,42.659203,34,1,1,0
33:14.0,21.178868,42.659272,29,1,1,0
33:24.0,21.179548,42.65926,34,1,1,0
33:34.0,21.180733,42.65924,18,1,1,0
33:44.0,21.181492,42.659153,14,1,1,0
33:54.0,21.1818,42.659112,8,1,1,0
34:02.0,21.18226,42.658983,9,1,1,1
34:06.0,21.182288,42.65897,0,1,0,1
34:16.0,21.182288,42.65897,0,1,0,1
34:22.0,21.18233,42.658993,6,1,0,1
34:26.0,21.18227,42.659048,8,1,0,1
34:36.0,21.181612,42.6592,21,1,0,1
34:46.0,21.18081,42.659293,22,1,0,1
34:56.0,21.17979,42.659333,30,1,0,1
35:06.0,21.179117,42.65934,8,1,0,1
35:16.0,21.178492,42.65932,23,1,0,1
35:26.0,21.177825,42.659275,11,1,0,1
35:29.0,21.17772,42.659222,13,1,0,1
35:39.0,21.177652,42.658865,5,1,0,1
35:49.0,21.177815,42.658602,20,1,0,1
35:59.0,21.177667,42.658015,21,1,0,1
36:09.0,21.177753,42.657532,18,1,0,1
36:19.0,21.177727,42.657425,16,1,0,1
36:29.0,21.177445,42.656912,28,1,0,1
36:39.0,21.177048,42.656332,35,1,0,1
36:49.0,21.176888,42.65586,9,1,0,1
36:59.0,21.17747,42.655617,15,1,0,1
37:09.0,21.177797,42.655513,7,1,0,1
37:18.0,21.17806,42.655378,15,1,0,1
37:21.0,21.178013,42.655263,18,1,0,1
37:32.0,21.177278,42.654608,28,1,0,1
37:42.0,21.177132,42.654432,12,1,0,1
37:52.0,21.176772,42.654085,25,1,0,1
38:02.0,21.176063,42.653212,49,1,0,1
38:12.0,21.175492,42.652682,6,1,0,1
38:19.0,21.175298,42.652533,18,1,0,1
38:29.0,21.175242,42.652177,28,1,0,1
38:39.0,21.17472,42.651405,20,1,0,1
38:42.0,21.174535,42.65135,19,1,0,1
38:52.0,21.17369,42.651423,25,1,0,1
38:57.0,21.173477,42.651457,7,1,0,1
39:07.0,21.173432,42.651698,6,1,0,1
39:13.0,21.173425,42.651717,0,1,1,1
39:17.0,21.173425,42.651717,0,1,0,1
39:21.0,21.173388,42.651737,0,1,1,1
39:29.0,21.173393,42.651737,7,1,1,1
39:33.0,21.17344,42.651535,19,1,0,1
39:35.0,21.173442,42.65145,11,1,1,1
39:37.0,21.173457,42.65141,6,1,0,1
39:40.0,21.17353,42.65138,14,1,0,0
39:45.0,21.174133,42.651363,35,1,1,0
39:46.0,21.17425,42.651357,33,1,0,0
39:50.0,21.174587,42.651263,19,1,1,0
39:53.0,21.174638,42.651148,20,1,1,0
40:02.0,21.173927,42.650395,52,1,0,0
40:06.0,21.173452,42.650018,47,1,1,0
40:08.0,21.173348,42.64993,43,1,0,0
40:09.0,21.173167,42.649767,34,1,1,0
40:11.0,21.173078,42.649643,23,1,0,0
40:14.0,21.173027,42.649562,0,1,1,0
40:16.0,21.173028,42.649558,0,1,0,0
40:18.0,21.173028,42.649558,0,1,1,0
40:20.0,21.172995,42.649515,16,1,0,0
40:25.0,21.172785,42.649278,27,1,1,0
40:27.0,21.172673,42.649138,35,1,0,0
40:29.0,21.172548,42.64898,36,1,1,0
40:32.0,21.172427,42.648808,40,1,0,0
40:42.0,21.171702,42.647898,36,1,0,0
40:52.0,21.171103,42.647137,35,1,0,0
41:02.0,21.170495,42.646635,14,1,0,0
41:03.0,21.170455,42.64661,14,1,1,0
41:05.0,21.170375,42.646562,14,1,0,0
41:15.0,21.169822,42.646185,16,1,0,0
41:25.0,21.169655,42.646028,7,1,0,0
41:35.0,21.169563,42.645953,0,1,0,0
41:45.0,21.169563,42.645953,0,1,0,0
41:55.0,21.16941,42.645862,5,1,0,0
42:05.0,21.169268,42.645772,6,1,0,0
42:15.0,21.16917,42.64572,0,1,0,0
42:25.0,21.169155,42.645712,0,1,0,0
42:28.0,21.169155,42.645712,0,1,1,0
42:31.0,21.169155,42.645712,0,1,0,0
42:38.0,21.169155,42.645712,0,1,1,0
42:40.0,21.169155,42.645712,0,1,0,0
42:41.0,21.169155,42.645712,4,1,1,0
42:51.0,21.168945,42.645642,8,1,1,0
42:54.0,21.168807,42.645673,18,1,0,0
42:58.0,21.168537,42.645773,25,1,1,0
43:05.0,21.168028,42.645957,20,1,0,0
43:07.0,21.167938,42.64599,8,1,1,0
43:11.0,21.16789,42.646005,0,1,0,0
43:14.0,21.16789,42.646005,0,1,1,0
43:24.0,21.16789,42.646005,0,1,1,0
43:34.0,21.16789,42.646005,0,1,1,0
43:44.0,21.167212,42.646253,43,1,1,0
43:05.0,21.168028,42.645957,20,1,0,0
